0	30	40	120.000000	40.000000	50	999999	0
1	37	52	5.250000	1.750000
2	49	49	22.500000	7.500000
3	52	64	12.000000	4.000000
4	20	26	6.000000	3.000000
5	40	30	15.750000	5.250000
6	21	47	11.250000	3.750000
7	17	63	14.250000	4.750000
8	31	62	17.250000	5.750000
9	52	33	8.250000	2.750000
10	51	21	3.750000	1.250000
11	42	41	14.250000	4.750000
12	31	32	19.330000	9.670000
13	5	25	15.330000	7.670000
14	12	42	15.750000	5.250000
15	36	16	7.500000	2.500000
16	52	41	11.250000	3.750000
17	27	23	2.000000	1.000000
18	17	33	27.330000	13.670000
19	13	13	6.000000	3.000000
20	57	58	21.000000	7.000000
21	62	42	6.000000	2.000000
22	42	57	6.000000	2.000000
23	16	57	12.000000	4.000000
24	8	52	7.500000	2.500000
25	7	38	21.000000	7.000000
26	27	68	5.250000	1.750000
27	30	48	11.250000	3.750000
28	43	67	10.500000	3.500000
29	58	48	4.500000	1.500000
30	58	27	14.250000	4.750000
31	37	69	8.250000	2.750000
32	38	46	9.000000	3.000000
33	46	10	17.250000	5.750000
34	61	33	19.500000	6.500000
35	62	63	12.750000	4.250000
36	63	69	4.500000	1.500000
37	32	22	6.000000	3.000000
38	45	35	11.250000	3.750000
39	59	15	10.500000	3.500000
40	5	6	4.670000	2.330000
41	10	17	18.000000	9.000000
42	21	10	8.670000	4.330000
43	5	64	8.250000	2.750000
44	30	15	10.670000	5.330000
45	39	10	7.500000	2.500000
46	32	39	3.750000	1.250000
47	25	32	16.670000	8.330000
48	25	55	12.750000	4.250000
49	48	28	13.500000	4.500000
50	56	37	7.500000	2.500000
